0.976932
class4,p
II,0.950482646119781
II,0.53541361738462
II,0.595561691676266
II,0.88846462406218
Ia,0.601566751836799
nonevent,0.201882255263627
Ia,0.723090314073488
Ia,0.80314773437567
II,0.788222871371545
nonevent,0.0297533832490444
Ib,0.591332542477176
nonevent,0.148060830892064
Ib,0.688039543107152
nonevent,0.356547970906831
II,0.562574292998761
II,0.714616717537865
Ia,0.515188519260846
nonevent,0.227084334706888
Ia,0.89715406356845
Ia,0.7356382481521
Ib,0.618194805341773
Ib,0.94351750833448
II,0.562976392568089
II,0.634655699483119
Ib,0.941229073563591
nonevent,0.375259910942987
II,0.548846470774151
Ib,0.907783507951535
II,0.929196514422074
II,0.558578649885021
nonevent,0.0686985811917111
Ia,0.774128498742357
nonevent,0.029514825087972
nonevent,0.247761645587161
Ib,0.503708761534654
Ia,0.924146611243486
II,0.531373165897094
Ia,0.909922543796711
nonevent,0.269680147059262
Ia,0.7495100494707
Ib,0.511113660410047
Ib,0.777046567294747
Ia,0.859948801458813
Ia,0.617857614648528
nonevent,0.405939840595238
nonevent,0.210736948531121
nonevent,0.282455275417306
Ia,0.575845392304473
Ia,0.597396217752248
II,0.583391518215649
nonevent,0.417554786079563
II,0.55553919961676
nonevent,0.13403505331371
Ia,0.89924048515968
nonevent,0.149464704096317
Ia,0.933784376247786
Ib,0.519711623550393
nonevent,0.169911755016074
Ib,0.654798047733493
II,0.56472684268374
II,0.686917242477648
Ia,0.732482814462855
Ia,0.523304094444029
Ia,0.993758099619299
Ia,0.954226165194996
Ia,0.989695073338225
nonevent,0.0852361068828031
Ib,0.521367187029682
Ia,0.571416181977838
II,0.680290420772508
Ia,0.77221027482301
Ib,0.968698309268802
Ia,0.817774432944134
Ia,0.742373265791684
Ia,0.542948113754392
nonevent,0.472456593532115
II,0.673356885905378
II,0.684673111652955
II,0.812074371497147
Ib,0.8637029126985
nonevent,0.0989640544867143
II,0.794357600039802
Ia,0.921448583481833
II,0.999689516145736
II,0.505719124688767
nonevent,0.410665925010107
nonevent,0.102811913238838
II,0.55690242559649
Ib,0.844042831799015
Ib,0.636480659712106
II,0.911584939574823
nonevent,0.322198201087303
II,0.763951140455902
nonevent,0.0143254840513691
nonevent,0.143585019628517
Ia,0.517791764228605
II,0.948933976818807
nonevent,0.0654844682430848
Ia,0.525722044403665
Ia,0.681973261409439
Ia,0.847740391502157
nonevent,0.446154565666802
II,0.622138097533025
Ia,0.695983198471367
II,0.810077453614213
Ia,0.782248488627374
nonevent,0.0207007855642587
Ib,0.737121742917225
nonevent,0.474602616741322
II,0.62016567250248
nonevent,0.339070851099677
II,0.956716092070565
nonevent,0.0227907630614936
Ib,0.568213565624319
Ia,0.550177116529085
Ia,0.704827307490632
Ib,0.984973922604695
II,0.681992325582542
II,0.862450706772506
Ia,0.851340773748234
Ib,0.512407300062478
nonevent,0.472999270190485
nonevent,0.266745754517615
Ia,0.848154583014548
nonevent,0.0226287513505667
II,0.958285714499652
II,0.516422110493295
nonevent,0.388648620457388
II,0.763070887885988
II,0.633060941821896
II,0.752468039630912
Ia,0.766247628023848
Ib,0.543435118277557
II,0.957800714881159
Ia,0.782004131237045
nonevent,0.0296152631053701
nonevent,0.33636284712702
II,0.813661338877864
Ib,0.536427709972486
Ia,0.718852527090348
II,0.820770372985862
II,0.904984743567184
Ia,0.695876486017369
II,0.88671140302904
II,0.936697562574409
Ib,0.809156558243558
nonevent,0.17886709200684
Ia,0.96612834057305
Ib,0.872364648035727
Ia,0.531783995800652
Ia,0.554101753863506
nonevent,0.409388945787214
II,0.896538469009101
Ib,0.528553518117405
II,0.953810308827087
II,0.860819306806661
II,0.95135349733755
Ib,0.767857132595964
Ib,0.674269667826593
nonevent,0.416646688827313
II,0.89516449556686
Ia,0.765704530174844
Ia,0.889359486289322
Ib,0.529179473291151
Ia,0.729055213159882
nonevent,0.0111655201762915
Ib,0.86994455580134
Ib,0.852868542773649
Ia,0.502853334997781
II,0.735376610071398
nonevent,0.298086281516589
II,0.641996796242893
nonevent,0.0276096452726051
Ia,0.688937145168893
II,0.765111940447241
Ia,0.625489034689963
Ib,0.972043246263638
Ia,0.718744135461748
Ia,0.850533403805457
nonevent,0.0879239459754899
Ia,0.6209874113556
Ia,0.511841591447592
Ia,0.664385524345562
Ib,0.706545712775551
Ia,0.554377277847379
nonevent,0.426026130095124
nonevent,0.00452996930107474
Ib,0.984881764394231
Ia,0.902323346119374
Ia,0.750519859371707
Ib,0.967089569545351
nonevent,0.2339261113666
Ia,0.755488397902809
nonevent,0.416110898368061
nonevent,0.080324798822403
